Date;Time;PT08.S1(CO);PT08.S2(NMHC);PT08.S3(NOx);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
20/01/2005;19.00.00;1357,0;1330,0;511,0;1414,0;1798,0;10,4;42,3;0,5337
20/01/2005;20.00.00;1248,0;1179,0;577,0;1259,0;1609,0;9,9;44,0;0,5381
20/01/2005;21.00.00;1220,0;1085,0;618,0;1205,0;1531,0;8,7;48,3;0,5458
20/01/2005;22.00.00;1137,0;856,0;758,0;1032,0;1338,0;8,1;49,9;0,5417
20/01/2005;23.00.00;1102,0;829,0;773,0;1015,0;1274,0;7,3;52,8;0,5419
21/01/2005;00.00.00;1082,0;801,0;780,0;1035,0;1200,0;8,0;52,2;0,5623
21/01/2005;01.00.00;1053,0;795,0;786,0;1039,0;1143,0;6,8;56,4;0,5609
21/01/2005;02.00.00;1003,0;740,0;847,0;992,0;1048,0;6,7;57,4;0,5654
21/01/2005;03.00.00;1019,0;744,0;836,0;1000,0;1049,0;5,9;62,1;0,5806
21/01/2005;04.00.00;1071,0;808,0;757,0;1046,0;1172,0;5,4;65,9;0,5947
21/01/2005;05.00.00;1118,0;841,0;702,0;1056,0;1368,0;5,5;66,5;0,6054
21/01/2005;06.00.00;1206,0;948,0;628,0;1129,0;1540,0;5,9;65,8;0,6178
21/01/2005;07.00.00;1256,0;1056,0;582,0;1230,0;1575,0;6,4;63,9;0,6192
21/01/2005;08.00.00;1501,0;1367,0;465,0;1558,0;1856,0;7,2;62,2;0,6351
21/01/2005;09.00.00;1578,0;1527,0;419,0;1761,0;2086,0;7,9;60,0;0,6406
21/01/2005;10.00.00;1427,0;1280,0;500,0;1481,0;1948,0;8,3;58,5;0,6403
21/01/2005;11.00.00;1440,0;1311,0;482,0;1476,0;2022,0;9,3;54,5;0,6415
21/01/2005;12.00.00;1522,0;1365,0;464,0;1526,0;2104,0;10,2;53,1;0,6608
21/01/2005;13.00.00;1517,0;1403,0;451,0;1579,0;2195,0;11,1;51,4;0,679
21/01/2005;14.00.00;1300,0;1113,0;573,0;1291,0;1845,0;12,8;46,9;0,6919
21/01/2005;15.00.00;1401,0;1204,0;526,0;1401,0;1947,0;13,1;48,0;0,7181
21/01/2005;16.00.00;1551,0;1303,0;469,0;1520,0;2171,0;13,5;51,5;0,793
21/01/2005;17.00.00;1411,0;1191,0;519,0;1426,0;1920,0;13,4;51,2;0,7808
21/01/2005;18.00.00;1434,0;1239,0;506,0;1458,0;1835,0;12,1;55,3;0,7777
21/01/2005;19.00.00;1489,0;1305,0;476,0;1547,0;1919,0;12,0;56,5;0,7924
21/01/2005;20.00.00;1835,0;1731,0;355,0;2083,0;2254,0;10,4;64,4;0,8123
21/01/2005;21.00.00;1804,0;1679,0;370,0;2005,0;2210,0;9,4;69,1;0,815
21/01/2005;22.00.00;1579,0;1345,0;459,0;1608,0;1961,0;8,9;71,0;0,8115
21/01/2005;23.00.00;1508,0;1246,0;496,0;1498,0;1791,0;8,1;73,8;0,7968
22/01/2005;00.00.00;1535,0;1300,0;483,0;1524,0;1725,0;7,3;76,8;0,7904
22/01/2005;01.00.00;1395,0;1131,0;552,0;1362,0;1553,0;7,3;76,7;0,7862
22/01/2005;02.00.00;1392,0;1153,0;542,0;1395,0;1506,0;7,1;77,3;0,7826
22/01/2005;03.00.00;1326,0;1087,0;571,0;1333,0;1398,0;6,7;78,7;0,7779
22/01/2005;04.00.00;1297,0;1032,0;605,0;1297,0;1300,0;7,0;77,8;0,7848
22/01/2005;05.00.00;1331,0;1106,0;568,0;1322,0;1383,0;5,7;80,5;0,7416
22/01/2005;06.00.00;1288,0;1036,0;590,0;1242,0;1413,0;5,2;81,4;0,7276
22/01/2005;07.00.00;1322,0;1091,0;565,0;1307,0;1471,0;5,6;80,4;0,7349
22/01/2005;08.00.00;1390,0;1167,0;522,0;1392,0;1619,0;6,3;78,8;0,7544
22/01/2005;09.00.00;1443,0;1207,0;502,0;1431,0;1673,0;6,9;76,9;0,7682
22/01/2005;10.00.00;1496,0;1254,0;484,0;1472,0;1881,0;9,2;67,7;0,79
22/01/2005;11.00.00;1439,0;1198,0;502,0;1426,0;1877,0;11,6;59,8;0,8152
22/01/2005;12.00.00;1432,0;1150,0;527,0;1393,0;1818,0;14,0;52,0;0,8288
22/01/2005;13.00.00;1398,0;1149,0;535,0;1417,0;1699,0;15,0;50,2;0,8495
22/01/2005;14.00.00;1380,0;1206,0;515,0;1500,0;1677,0;14,9;49,9;0,8394
22/01/2005;15.00.00;1022,0;857,0;770,0;1068,0;1088,0;15,8;33,8;0,6034
22/01/2005;16.00.00;973,0;806,0;851,0;994,0;926,0;15,4;29,3;0,5068
22/01/2005;17.00.00;951,0;862,0;823,0;972,0;961,0;14,4;25,7;0,4193
22/01/2005;18.00.00;987,0;925,0;776,0;1016,0;1066,0;13,4;27,2;0,4157
